target,setsize,resp,rt,sub,correct
Present,16,1,0.994768523,3,1
Absent,12,2,3.265343718,3,1
Absent,8,2,1.73599885,3,1
Present,16,2,2.277170557,3,0
Absent,16,2,2.535973563,3,1
Present,8,1,1.088917274,3,1
Absent,8,2,4.053640486,3,1
Present,16,2,2.51243898,3,0
Absent,16,2,2.406563208,3,1
Present,16,1,2.935960949,3,1
Absent,16,2,4.87716446,3,1
Present,12,1,0.794781994,3,1
Present,12,1,0.853583651,3,1
Absent,8,2,2.265390456,3,1
Absent,12,2,3.830105016,3,1
Present,8,1,1.018308689,3,1
Absent,12,2,1.606578967,3,1
Present,8,1,2.794783693,3,1
Absent,8,2,2.677145285,3,1
Present,8,1,0.924178527,3,1
Present,8,1,0.947734236,3,1
Absent,12,2,2.218383516,3,1
Absent,12,2,2.512447761,3,1
Present,16,1,1.312445596,3,1
Present,8,1,1.559499549,3,1
Present,12,1,1.924185777,3,1
Absent,12,2,1.27715448,3,1
Absent,8,2,2.124258894,3,1
Absent,16,2,2.971287888,3,1
Present,12,1,2.300680361,3,1
Present,12,2,3.606563849,3,0
Absent,16,2,4.053659031,3,1
Present,8,1,3.677155831,3,1
Present,8,1,3.512445213,3,1
Absent,8,2,3.335984938,3,1
Present,8,1,4.147763491,3,1
Present,16,1,2.877133491,3,1
Absent,16,2,2.924275851,3,1
Present,12,1,1.853604259,3,1
Absent,12,2,3.54777243,3,1
Absent,12,2,2.430061068,3,1
Present,16,1,2.830076882,3,1
Absent,12,2,2.124213999,3,1
Absent,8,2,3.571263824,3,1
Absent,12,2,4.018340798,3,1
Present,16,1,2.124184797,3,1
Absent,8,2,2.253610399,3,1
Present,16,1,2.594792916,3,1
Present,8,1,0.865381662,3,1
Present,12,1,1.077132278,3,1
Absent,8,2,1.994800146,3,1
Absent,16,2,2.865366717,3,1
Present,16,1,1.041847833,3,1
Absent,16,2,2.394810426,3,1
Present,16,2,2.183038868,3,0
Present,16,1,0.865332786,3,1
Present,12,1,3.194801194,3,1
Absent,16,2,3.441867346,3,1
Absent,8,2,1.865395022,3,1
Present,12,1,1.594771936,3,1
Absent,12,2,1.641863905,3,1
Present,12,1,2.394806539,3,1
Absent,16,2,2.547722595,3,1
Absent,12,-1,4.994238193,3,0
Absent,16,2,1.018288587,3,1
Present,8,1,1.359848688,3,1
Absent,8,2,1.500678657,3,1
Absent,12,2,1.994766974,3,1
Absent,12,2,1.70069198,3,1
Absent,16,2,2.606566458,3,1
Absent,8,2,2.394795975,3,1
Absent,8,2,2.547745812,3,1
Present,16,1,1.277129325,3,1
Present,12,1,0.724215776,3,1
Absent,16,2,2.465419998,3,1
Present,16,1,1.665439291,3,1
Present,12,1,0.994789116,3,1
Absent,12,2,3.230074523,3,1
Present,8,1,0.982981657,3,1
Present,8,1,1.535978823,3,1
Present,8,1,2.135993399,3,1
Present,16,1,3.559481246,3,1
Absent,8,2,1.936033352,3,1
